Country Name,Series Name,2016 [Unemployment|2016],Unemployment,Unemployment_2018,Unemployment_2019,"Unemployment, total (% of total labor force)",2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11,11,11,11,12,35383028,36296111,37171922,38041757,38928341
Albania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",15,14,12,11,12,2876101,2873457,2866376,2854191,2837743
Algeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10,12,12,12,13,40551398,41389174,42228415,43053054,43851043
American Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,55739,55617,55461,55312,55197
Andorra,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,77295,76997,77008,77146,77265
Angola,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7,7,7,7,8,28842482,29816769,30809787,31825299,32866268
Antigua and Barbuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,94520,95425,96282,97115,97928
Argentina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8,8,9,10,12,43590368,44044811,44494502,44938712,45376763
Armenia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18,18,19,19,20,2936147,2944789,2951741,2957728,2963234
Aruba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,104865,105361,105846,106310,106766
Australia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6,6,5,5,7,24190907,24601860,24982688,25365745,25687041
Austria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6,6,5,4,6,8736668,8797566,8840521,8879920,8917205
Azerbaijan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5,5,5,5,6,9757812,9854033,9939771,10024283,10110116
"Bahamas, The","Unemployment, total (% of total labor force) (modeled ILO estimate)",13,10,10,10,14,377923,381749,385635,389486,393248
Bahrain,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1,1,2,2,4,1425793,1494077,1569440,1641164,1701583
Bangladesh,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4,4,4,4,5,157977151,159685421,161376713,163046173,164689383
Barbados,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10,10,10,10,13,285798,286229,286640,287021,287371
Belarus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6,6,5,5,5,9501534,9498264,9483499,9417849,9398861
Belgium,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8,7,6,5,6,11331422,11375158,11427054,11488980,11555997
Belize,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7,7,7,6,8,368399,375775,383071,390351,397621
Benin,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3,2,2,2,3,10872072,11175192,11485035,11801151,12123198
Bermuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,64554,63873,63919,63913,63903
Bhutan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2,2,2,2,4,736706,745563,754396,763094,771612
Bolivia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4,4,4,3,6,11031822,11192853,11353140,11513102,11673029
Bosnia and Herz.,"Unemployment, total (% of total labor force) (modeled ILO estimate)",25,21,18,16,17,3386263,3351534,3323929,3300998,3280815
Botswana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18,17,17,17,18,2159925,2205076,2254067,2303703,2351625
Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12,13,12,12,14,206163056,207833825,209469320,211049519,212559409
British Virgin Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,29355,29567,29795,30033,30237
Brunei Darussalam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8,9,9,7,8,419791,424481,428960,433296,437483
Bulgaria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8,6,5,4,6,7127822,7075947,7025037,6975761,6927288
Burkina Faso,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6,5,5,5,5,18646350,19193236,19751466,20321383,20903278
Burundi,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2,1,1,1,1,10488002,10827010,11175379,11530577,11890781
Cabo Verde,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12,12,12,12,13,531140,537499,543764,549936,555988
Cambodia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1,0,0,0,0,15766290,16009413,16249795,16486542,16718971
Cameroon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3,3,3,3,4,23926549,24566070,25216261,25876387,26545864
Canada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7,6,6,6,9,36109487,36545295,37065178,37593384,38005238
Cayman Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,62564,63382,64172,64948,65720
Central African Rep.,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4,4,4,4,4,4537683,4596023,4666375,4745179,4829764
Chad,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2,2,2,2,2,14561658,15016761,15477727,15946882,16425859
Channel Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7,7,7,7,8,166922,168666,170496,172264,173859
Chile,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7,7,7,7,12,18209072,18470435,18729166,18952035,19116209
China,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5,4,4,5,5,1378665000,1386395000,1392730000,1397715000,1402112000
Colombia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9,9,9,10,15,48175048,48909844,49661056,50339443,50882884
Comoros,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8,8,8,8,8,795597,813890,832322,850891,869595
Dem. Rep. Congo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4,4,4,4,5,78789130,81398765,84068092,86790568,89561404
Congo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10,10,10,10,10,4980996,5110701,5244363,5380504,5518092
Costa Rica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9,8,10,11,17,4899336,4949955,4999443,5047561,5094114
Côte d'Ivoire,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3,3,3,3,4,23822726,24437475,25069226,25716554,26378275
Croatia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13,11,8,7,7,4174349,4124531,4087843,4065253,4047200
Cuba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2,2,2,2,4,11335108,11339255,11338146,11333484,11326616
Curacao,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,159664,160175,159336,157441,155014
Cyprus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13,11,8,7,7,1170189,1179685,1189262,1198574,1207361
Czechia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4,3,2,2,3,10566332,10594438,10629928,10671870,10698896
Denmark,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6,6,5,5,6,5728010,5764980,5793636,5814422,5831404
Djibouti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11,11,11,11,12,929117,944100,958923,973557,988002
Dominica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,0,0,0,0,71307,71460,71626,71808,71991
Dominican Rep.,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7,6,6,6,9,10397738,10513111,10627147,10738957,10847904
